Fecha;Sensor;Lectura;Unidades de Lectura;Medida;Unidades de Medida;Flag;Flag Manipulación;Observaciones
28/11/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
28/11/2011 08:00:00;E012NEMBA;710,84;m.s.n.m.;710,84;m.s.n.m.;M;NC;
28/11/2011 08:00:00;E012TEMPMED;8,00;ºC;8,00;ºC;M;NC;
29/11/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
29/11/2011 08:00:00;E012NEMBA;710,83;m.s.n.m.;710,83;m.s.n.m.;M;NC;
29/11/2011 08:00:00;E012TEMPMED;7,80;ºC;7,80;ºC;M;NC;
30/11/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
30/11/2011 08:00:00;E012NEMBA;710,82;m.s.n.m.;710,82;m.s.n.m.;M;NC;
30/11/2011 08:00:00;E012TEMPMED;7,70;ºC;7,70;ºC;M;NC;
01/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
01/12/2011 08:00:00;E012NEMBA;710,81;m.s.n.m.;710,81;m.s.n.m.;M;NC;
01/12/2011 08:00:00;E012TEMPMED;7,40;ºC;7,40;ºC;M;NC;
02/12/2011 08:00:00;E012LLUVIAS;5,00;l/m²;5,00;l/m²;M;NC;
02/12/2011 08:00:00;E012NEMBA;710,79;m.s.n.m.;710,79;m.s.n.m.;M;NC;
02/12/2011 08:00:00;E012TEMPMED;6,00;ºC;6,00;ºC;M;NC;
03/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
03/12/2011 08:00:00;E012NEMBA;710,78;m.s.n.m.;710,78;m.s.n.m.;M;NC;
03/12/2011 08:00:00;E012TEMPMED;0,00;ºC;0,00;ºC;M;NC;
04/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
04/12/2011 08:00:00;E012NEMBA;710,76;m.s.n.m.;710,76;m.s.n.m.;M;NC;
04/12/2011 08:00:00;E012TEMPMED;0,00;ºC;0,00;ºC;M;NC;
05/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
05/12/2011 08:00:00;E012NEMBA;710,75;m.s.n.m.;710,75;m.s.n.m.;M;NC;
05/12/2011 08:00:00;E012TEMPMED;0,00;ºC;0,00;ºC;M;NC;
06/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
06/12/2011 08:00:00;E012NEMBA;710,73;m.s.n.m.;710,73;m.s.n.m.;M;NC;
06/12/2011 08:00:00;E012TEMPMED;0,00;ºC;0,00;ºC;M;NC;
07/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
07/12/2011 08:00:00;E012NEMBA;710,71;m.s.n.m.;710,71;m.s.n.m.;M;NC;
07/12/2011 08:00:00;E012TEMPMED;0,00;ºC;0,00;ºC;M;NC;
08/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
08/12/2011 08:00:00;E012NEMBA;710,70;m.s.n.m.;710,70;m.s.n.m.;M;NC;
08/12/2011 08:00:00;E012TEMPMED;0,00;ºC;0,00;ºC;M;NC;
09/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
09/12/2011 08:00:00;E012NEMBA;710,68;m.s.n.m.;710,68;m.s.n.m.;M;NC;
09/12/2011 08:00:00;E012TEMPMED;0,00;ºC;0,00;ºC;M;NC;
10/12/2011 08:00:00;E012LLUVIAS;6,00;l/m²;6,00;l/m²;M;NC;
10/12/2011 08:00:00;E012NEMBA;710,66;m.s.n.m.;710,66;m.s.n.m.;M;NC;
10/12/2011 08:00:00;E012TEMPMED;0,00;ºC;0,00;ºC;M;NC;
11/12/2011 08:00:00;E012LLUVIAS;3,50;l/m²;3,50;l/m²;M;NC;
11/12/2011 08:00:00;E012NEMBA;710,65;m.s.n.m.;710,65;m.s.n.m.;M;NC;
11/12/2011 08:00:00;E012TEMPMED;0,00;ºC;0,00;ºC;M;NC;
12/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
12/12/2011 08:00:00;E012NEMBA;710,63;m.s.n.m.;710,63;m.s.n.m.;M;NC;
12/12/2011 08:00:00;E012TEMPMED;0,00;ºC;0,00;ºC;M;NC;
13/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
13/12/2011 08:00:00;E012NEMBA;710,61;m.s.n.m.;710,61;m.s.n.m.;M;NC;
13/12/2011 08:00:00;E012TEMPMED;8,90;ºC;8,90;ºC;M;NC;
14/12/2011 08:00:00;E012LLUVIAS;2,50;l/m²;2,50;l/m²;M;NC;
14/12/2011 08:00:00;E012NEMBA;710,59;m.s.n.m.;710,59;m.s.n.m.;M;NC;
14/12/2011 08:00:00;E012TEMPMED;10,40;ºC;10,40;ºC;M;NC;
15/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
15/12/2011 08:00:00;E012NEMBA;710,58;m.s.n.m.;710,58;m.s.n.m.;M;NC;
15/12/2011 08:00:00;E012TEMPMED;7,90;ºC;7,90;ºC;M;NC;
16/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
16/12/2011 08:00:00;E012NEMBA;710,56;m.s.n.m.;710,56;m.s.n.m.;M;NC;
16/12/2011 08:00:00;E012TEMPMED;5,40;ºC;5,40;ºC;M;NC;
17/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
17/12/2011 08:00:00;E012NEMBA;710,54;m.s.n.m.;710,54;m.s.n.m.;M;NC;
17/12/2011 08:00:00;E012TEMPMED;7,70;ºC;7,70;ºC;M;NC;
18/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
18/12/2011 08:00:00;E012NEMBA;710,53;m.s.n.m.;710,53;m.s.n.m.;M;NC;
18/12/2011 08:00:00;E012TEMPMED;2,90;ºC;2,90;ºC;M;NC;
19/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
19/12/2011 08:00:00;E012NEMBA;710,51;m.s.n.m.;710,51;m.s.n.m.;M;NC;
19/12/2011 08:00:00;E012TEMPMED;2,20;ºC;2,20;ºC;M;NC;
20/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
20/12/2011 08:00:00;E012NEMBA;710,49;m.s.n.m.;710,49;m.s.n.m.;M;NC;
20/12/2011 08:00:00;E012TEMPMED;2,00;ºC;2,00;ºC;M;NC;
21/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
21/12/2011 08:00:00;E012NEMBA;710,48;m.s.n.m.;710,48;m.s.n.m.;M;NC;
21/12/2011 08:00:00;E012TEMPMED;4,60;ºC;4,60;ºC;M;NC;
22/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
22/12/2011 08:00:00;E012NEMBA;710,46;m.s.n.m.;710,46;m.s.n.m.;M;NC;
22/12/2011 08:00:00;E012TEMPMED;5,60;ºC;5,60;ºC;M;NC;
23/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
23/12/2011 08:00:00;E012NEMBA;710,44;m.s.n.m.;710,44;m.s.n.m.;M;NC;
23/12/2011 08:00:00;E012TEMPMED;4,70;ºC;4,70;ºC;M;NC;
24/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
24/12/2011 08:00:00;E012NEMBA;710,42;m.s.n.m.;710,42;m.s.n.m.;M;NC;
24/12/2011 08:00:00;E012TEMPMED;4,70;ºC;4,70;ºC;M;NC;
25/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
25/12/2011 08:00:00;E012NEMBA;710,41;m.s.n.m.;710,41;m.s.n.m.;M;NC;
25/12/2011 08:00:00;E012TEMPMED;2,80;ºC;2,80;ºC;M;NC;
26/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
26/12/2011 08:00:00;E012NEMBA;710,39;m.s.n.m.;710,39;m.s.n.m.;M;NC;
26/12/2011 08:00:00;E012TEMPMED;3,50;ºC;3,50;ºC;M;NC;
27/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
27/12/2011 08:00:00;E012NEMBA;710,37;m.s.n.m.;710,37;m.s.n.m.;M;NC;
27/12/2011 08:00:00;E012TEMPMED;4,10;ºC;4,10;ºC;M;NC;
28/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
28/12/2011 08:00:00;E012NEMBA;710,35;m.s.n.m.;710,35;m.s.n.m.;M;NC;
28/12/2011 08:00:00;E012TEMPMED;4,60;ºC;4,60;ºC;M;NC;
29/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
29/12/2011 08:00:00;E012NEMBA;710,33;m.s.n.m.;710,33;m.s.n.m.;M;NC;
29/12/2011 08:00:00;E012TEMPMED;3,40;ºC;3,40;ºC;M;NC;
30/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
30/12/2011 08:00:00;E012NEMBA;710,31;m.s.n.m.;710,31;m.s.n.m.;M;NC;
30/12/2011 08:00:00;E012TEMPMED;2,10;ºC;2,10;ºC;M;NC;
31/12/2011 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
31/12/2011 08:00:00;E012NEMBA;710,29;m.s.n.m.;710,29;m.s.n.m.;M;NC;
31/12/2011 08:00:00;E012TEMPMED;3,80;ºC;3,80;ºC;M;NC;
01/01/2012 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
01/01/2012 08:00:00;E012NEMBA;710,27;m.s.n.m.;710,27;m.s.n.m.;M;NC;
01/01/2012 08:00:00;E012TEMPMED;4,90;ºC;4,90;ºC;M;NC;
02/01/2012 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
02/01/2012 08:00:00;E012NEMBA;710,26;m.s.n.m.;710,26;m.s.n.m.;M;NC;
02/01/2012 08:00:00;E012TEMPMED;6,20;ºC;6,20;ºC;M;NC;
03/01/2012 08:00:00;E012LLUVIAS;0,00;l/m²;0,00;l/m²;M;NC;
03/01/2012 08:00:00;E012NEMBA;710,24;m.s.n.m.;710,24;m.s.n.m.;M;NC;
03/01/2012 08:00:00;E012TEMPMED;5,10;ºC;5,10;ºC;M;NC;
